No,Date,Year,Language Group,Speech/Event,Interaction Type,Field Domain,Field,Tenor,Mode,Opening Evidence,Word Count,File Path
045,2024-12-18,2024,English,"Bilateral Meeting with Prime Minister of Pakistan at St. Regis Hotel New Capital, Cairo, Egypt, December",Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—English; genre—press transcript with question-answer or statement-response organization.","Journalist Sir, excuse me. May I ask for your thoughts on today’s agenda? President of the Republic of Indonesia (Prabowo Subianto) This morning, I believe you followed the agenda closely. I had a state visit where I wa...",279,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/045 - President Speech - 2024-12-18 - Bilateral Meeting with Prime Minister of Pakistan at St. Regis Hotel New Capital, Cairo, Egypt, December.txt"
046,2024-12-18,2024,Bahasa Indonesia,Pertemuan dengan Mahasiswa Indonesia di Universitas Al-Azhar Kairo,Presidential address,Education and human-capital development,"Schools, universities, teachers, students, defence education, or human-resource development; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Yang saya hormati Wakil Grand Syekh Al-Azhar Prof. Dr. Mohammed Abdel Rahman Ad Duweiny; Rektor Al-Azhar Prof. Dr. Salamah Dawud, serta seluruh peng...",2407,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/046 - President Speech - 2024-12-18 - Pertemuan dengan Mahasiswa Indonesia di Universitas Al-Azhar Kairo.txt
047,2024-12-18,2024,English,"the Meeting with Indonesian Students at Al-Azhar University, Cairo, at the Al-Azhar Convention Center",Presidential address,Education and human-capital development,"Schools, universities, teachers, students, defence education, or human-resource development; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and invited public/institutional audience; relationship—asymmetrical but ceremonially respectful; social proximity—public and formal.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Honorable Deputy Grand Sheikh of Al-Azhar Prof. Dr. Mohammed Abdel Rahman Ad Duweiny; Chancellor of Al-Azhar University Prof. Dr. Salamah Dawud, as...",2477,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/047 - President Speech - 2024-12-18 - the Meeting with Indonesian Students at Al-Azhar University, Cairo, at the Al-Azhar Convention Center.txt"
048,2024-12-18,2024,Bahasa Indonesia,usai Pertemuan Bilateral dengan Perdana Menteri Pakistan,Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Wartawan Bapak, izin. Boleh minta tanggapannya mengenai agenda pada hari ini seperti apa? Presiden Republik Indonesia (Prabowo Subianto) Ya, tadi pagi, kalian saya kira [juga] mengikuti. Saya ada kunjungan kenegaraan di...",255,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/048 - President Speech - 2024-12-18 - usai Pertemuan Bilateral dengan Perdana Menteri Pakistan.txt
049,2024-12-18,2024,Bahasa Indonesia,usai Pertemuan Bilateral Presiden RI dan Presiden Republik Arab Mesir dalam Kunjungan Kenegaraan,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—diplomatic address or joint statement.,"Bismillahirrahmanirahim. Assalamu’alaikum warahmatullahi wabarakatuh. Yang Mulia Presiden Abdel Fattah El-Sisi, presiden dari Republik Arab Mesir; Para menteri, para pimpinan negara; Saudara-saudara dari media. Pertama,...",727,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/049 - President Speech - 2024-12-18 - usai Pertemuan Bilateral Presiden RI dan Presiden Republik Arab Mesir dalam Kunjungan Kenegaraan.txt
050,2024-12-19,2024,English,"D-8 Summit at the Presidential Palace, New Administrative Capital, Cairo, Egypt, December 19, 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. His Excellency Abdel Fattah El-Sisi, President of the Arab Republic of Egypt; Honorable Heads of State and Government of the D-8 organization, Ambas...",685,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/050 - President Speech - 2024-12-19 - D-8 Summit at the Presidential Palace, New Administrative Capital, Cairo, Egypt, December 19, 2024.txt"
051,2024-12-19,2024,English,Konferensi Tingkat Tinggi (KTT) D-8,Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. His Excellency Abdel Fattah El-Sisi, President of the Arab Republic of Egypt; Honorable Heads of State and Government of the D-8 organization, Ambas...",685,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/051 - President Speech - 2024-12-19 - Konferensi Tingkat Tinggi (KTT) D-8.txt
052,2024-12-19,2024,English,Sesi Khusus Konferensi Tingkat Tinggi (KTT) D-8,Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Distinguished Heads of Governments/Heads of States, We convene today once again to condemn the outrageous violation of international law, the blatant and flagrant atrocities being carried out....",375,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/052 - President Speech - 2024-12-19 - Sesi Khusus Konferensi Tingkat Tinggi (KTT) D-8.txt
053,2024-12-19,2024,English,"the Special Session of D-8 Summit at the Presidential Palace, New Administrative Capital, Cairo, Egypt",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Distinguished Heads of Governments/Heads of States, We convene today once again to condemn the outrageous violation of international law, the blatant and flagrant atrocities being carried out....",375,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/053 - President Speech - 2024-12-19 - the Special Session of D-8 Summit at the Presidential Palace, New Administrative Capital, Cairo, Egypt.txt"
054,2024-12-25,2024,English,"Christmas 2024 and New Year 2025, in Hambalang, Bogor Regency, West Java Province, December 25, 2024",Public greeting / condolence,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—public greeting / condolence; institutional setting—presidential/state discourse.",Participants—President and invited public/institutional audience; relationship—asymmetrical but ceremonially respectful; social proximity—public and formal.,Language role—primary/expressive and interpersonal; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—public greeting/condolence message.,"Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Wishing peace and prosperity for us all, Shalom, Salve, Om Swastiastu, Namo Buddhaya, Greetings of Virtue, As the President of the Republic of Indon...",108,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/054 - President Speech - 2024-12-25 - Christmas 2024 and New Year 2025, in Hambalang, Bogor Regency, West Java Province, December 25, 2024.txt"
055,2024-12-25,2024,Bahasa Indonesia,Hari Raya Natal 2024 dan Tahun Baru 2025,Public greeting / condolence,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—public greeting / condolence; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,Language role—primary/expressive and interpersonal; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—public greeting/condolence message.,"Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Saya Prabowo Subianto, Presiden Republik Indonesia...",109,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/055 - President Speech - 2024-12-25 - Hari Raya Natal 2024 dan Tahun Baru 2025.txt
056,2024-12-28,2024,Bahasa Indonesia,Perayaan Natal Nasional Tahun 2024,Presidential address,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound via mediated broadcast; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat malam, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Yang saya hormati Wakil Presiden Re...",1656,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/056 - President Speech - 2024-12-28 - Perayaan Natal Nasional Tahun 2024.txt
057,2024-12-30,2024,Bahasa Indonesia,Musyawarah Perencanaan Pembangunan Nasional (Musrenbangnas) RPJMN Tahun 2025-2029,Presidential address,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound via mediated broadcast; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirahmanirahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo buddhaya, Salam kebajikan, Rahayu rahayu. Yang saya hormati Waki...",2459,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/057 - President Speech - 2024-12-30 - Musyawarah Perencanaan Pembangunan Nasional (Musrenbangnas) RPJMN Tahun 2025-2029.txt
058,2024-12-31,2024,Bahasa Indonesia,terkait Pengumuman Kenaikan PPN 12 Persen Berlaku Hanya untuk Barang dan Jasa Mewah,Presidential address,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan, Terima kasih, Saudara-saudara sekali...",814,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/058 - President Speech - 2024-12-31 - terkait Pengumuman Kenaikan PPN 12 Persen Berlaku Hanya untuk Barang dan Jasa Mewah.txt
059,2025-01-15,2025,Bahasa Indonesia,Kunjungan Resmi Perdana Menteri Jepang Ishiba Shigeru,Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Presiden Republik Indonesia (Prabowo Subianto) Yang saya hormati dan yang saya muliakan, Yang Mulia Perdana Menteri Jepang Saudara Ishiba Shigeru dan Nyonya Ishiba Yoshiko; Para Menteri dan Pejabat Tinggi dari kedua neg...",401,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/059 - President Speech - 2025-01-15 - Kunjungan Resmi Perdana Menteri Jepang Ishiba Shigeru.txt
060,2025-01-17,2025,Bahasa Indonesia,Musyawarah Nasional Konsolidasi Persatuan Kadin Indonesia,Presidential address,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Yang saya hormati dan yang saya bang...",1160,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/060 - President Speech - 2025-01-17 - Musyawarah Nasional Konsolidasi Persatuan Kadin Indonesia.txt
061,2025-01-17,2025,Bahasa Indonesia,pada Musyawarah Nasional Konsolidasi Persatuan Kadin Indonesia,Press statement / media Q&A,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Wartawan Izin, Pak. Tadi kan sempat membahas banyak keterlibatan swasta lebih besar di pemerintahan Bapak. Nah ini seperti apa nanti untuk pembangunan ke depannya? Presiden Republik Indonesia (Prabowo Subianto) Terutama...",137,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/061 - President Speech - 2025-01-17 - pada Musyawarah Nasional Konsolidasi Persatuan Kadin Indonesia.txt
062,2025-01-23,2025,Bahasa Indonesia,Peresmian Proyek Strategis Ketenagalistrikan di 18 Provinsi,Ceremonial / policy address,"Infrastructure, energy, and natural resources","Infrastructure delivery, energy transition, mining, plantations, oil, roads, or public works; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound via mediated broadcast; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat pagi, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo Buddhaya, Salam Kebajikan. Saudara-saudara sekalian, Yang saya...",976,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/062 - President Speech - 2025-01-23 - Peresmian Proyek Strategis Ketenagalistrikan di 18 Provinsi.txt
063,2025-01-23,2025,Bahasa Indonesia,Sidang Kabinet Paripurna,Cabinet/executive briefing,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—cabinet/executive briefing; institutional setting—presidential/state discourse.","Participants—President as head of government and ministers/senior officials as institutional subordinates; relationship—hierarchical and directive; social proximity—professional, relatively close within government.",Language role—primary/instructional and policy-orienting; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—executive directive/briefing.,"Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo Buddhaya, Salam Kebajikan. Yang saya hormati Wakil Presiden RI,...",1987,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/063 - President Speech - 2025-01-23 - Sidang Kabinet Paripurna.txt
064,2025-01-23,2025,Bahasa Indonesia,usai Peresmian Proyek Strategis Ketenagalistrikan di 18 Provinsi,Press statement / media Q&A,"Infrastructure, energy, and natural resources","Infrastructure delivery, energy transition, mining, plantations, oil, roads, or public works; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Presiden Republik Indonesia (Prabowo Subianto) Ya baik. Jadi, hari ini kita sangat bangga ya, kita bisa meresmikan 37 proyek, 26 pembangkit tenaga listrik di 18 provinsi yang menghasilkan energi 3,2 gigawatt lebih, kemu...",733,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/064 - President Speech - 2025-01-23 - usai Peresmian Proyek Strategis Ketenagalistrikan di 18 Provinsi.txt
065,2025-01-24,2025,Bahasa Indonesia,"sebelum Keberangkatan Kunjungan Kerja ke New Delhi, India",Presidential address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—presidential address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo Buddhaya, Salam Kebajikan. Selamat sore Saudara-saudara se-bang...",537,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/065 - President Speech - 2025-01-24 - sebelum Keberangkatan Kunjungan Kerja ke New Delhi, India.txt"
066,2025-02-10,2025,Bahasa Indonesia,Hari Pers Nasional Ke-79 tahun 2025 dari Presiden Prabowo Subianto,Presidential address,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo Buddhaya, Salam kebajikan. Saudara-saudara sekalian yang saya hormati dan say...",318,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/066 - President Speech - 2025-02-10 - Hari Pers Nasional Ke-79 tahun 2025 dari Presiden Prabowo Subianto.txt
067,2025-02-10,2025,Bahasa Indonesia,Komandan Satuan TNI,Presidential address,"Defence, security, law, and public order","Defence institutions, police/military, law enforcement, corruption, narcotics, or security; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Yang saya hormati dan saya banggakan...",567,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/067 - President Speech - 2025-02-10 - Komandan Satuan TNI.txt
068,2025-02-10,2025,Bahasa Indonesia,Peringatan Hari Lahir ke-102 Nahdlatul Ulama,Presidential address,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Bapak-bapak, Ibu-ibu sekalian, para hadirin yang saya hormati, Sebagai insan yang bertakwa marilah kita tidak henti-hentinya memanjatkan puji syukur...",1502,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/068 - President Speech - 2025-02-10 - Peringatan Hari Lahir ke-102 Nahdlatul Ulama.txt
069,2025-02-10,2025,Bahasa Indonesia,Sidang Perdana Dewan Pertahanan Nasional,Presidential address,"Defence, security, law, and public order","Defence institutions, police/military, law enforcement, corruption, narcotics, or security; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Asalamu’alaikum warahmatullahi wabarakatuh, Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om Swastiastu, Namo Buddhaya, Salam kebajikan. Yang saya hormati Saudara Wakil Pres...",293,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/069 - President Speech - 2025-02-10 - Sidang Perdana Dewan Pertahanan Nasional.txt
070,2025-02-10,2025,Bahasa Indonesia,Tahun Baru Imlek 2576,Public greeting / condolence,"Religious, cultural, and social solidarity","Religious commemoration, condolences, greetings, social harmony, or civic solidarity; activity type—public greeting / condolence; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,Language role—primary/expressive and interpersonal; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—public greeting/condolence message.,"Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Saya Prabowo Subianto, Presiden Republik Indonesia...",138,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/070 - President Speech - 2025-02-10 - Tahun Baru Imlek 2576.txt
071,2025-02-18,2025,Bahasa Indonesia,tentang Penetapan PP Nomor 8 Tahun 2025 yang Mengatur Kewajiban Penyimpanan Devisa Hasil Ekspor SDA di,Presidential address,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo buddhaya, Salam kebajikan. Pada siang hari ini, tanggal 17 Feb...",1107,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/071 - President Speech - 2025-02-18 - tentang Penetapan PP Nomor 8 Tahun 2025 yang Mengatur Kewajiban Penyimpanan Devisa Hasil Ekspor SDA di.txt
072,2025-02-27,2025,Bahasa Indonesia,"Peresmian Layanan Bank Emas Pegadaian dan Bank Syariah Indonesia Di The Gade Tower, Jakarta",Ceremonial / policy address,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo Buddhaya, Salam Kebajikan. Yang saya hormati dan saya banggaka...",1125,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/072 - President Speech - 2025-02-27 - Peresmian Layanan Bank Emas Pegadaian dan Bank Syariah Indonesia Di The Gade Tower, Jakarta.txt"
